"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0291","Anaerobically-induced outer membrane porin OprE precursor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03800","anaerobically-induced outer membrane porin OprE precursor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0293","N-carbamoylputrescine amidohydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03830","N-carbamoylputrescine amidohydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0295","probable periplasmic polyamine binding protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03855","periplasmic polyamine binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0296","Glutamylpolyamine synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03860","glutamine synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0297","probable glutamine amidotransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03870","glutamine amidotransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0298","Glutamylpolyamine synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03880","glutamine synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0299","Polyamine:pyruvate transaminase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03900","aminotransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0300","polyamine transport protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03920","polyamine transport protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0302","polyamine transport protein PotG","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03940","polyamine transport protein PotG",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0303","polyamine transport protein PotH","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03950","polyamine transport protein PotH",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0304","polyamine transport protein PotI","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03960","polyamine transport protein PotI",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0305","acylhomoserine lactone acylase B","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_03980","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0306","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04000","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0309","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04040","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0310","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04050","proline hydroxylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0311","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04060","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0312","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04070","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0313","L-cysteine transporter of ABC system YecS","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04080","ABC transporter permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0320","calcium-regulated OB-fold protein CarO","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04180","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0321","acetylpolyamine amidohydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04190","acetylpolyamine aminohydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0322","probable transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04210","transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0325","probable permease of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04240","ABC transporter permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0326","probable ATP-binding component of ABC transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04250","ABC transporter ATP-binding protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0329","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04300","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0330","ribose 5-phosphate isomerase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04310","ribose-5-phosphate isomerase A",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0331","threonine dehydratase, biosynthetic","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04320","threonine dehydratase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0335","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04380","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0337","phosphoenolpyruvate-protein phosphotransferase PtsP","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04410","phosphoenolpyruvate-protein phosphotransferase PtsP",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0340","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04440","permease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0342","thymidylate synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04480","thymidylate synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0343","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04490","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0344","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04510","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0346","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04530","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0347","glycerophosphoryl diester phosphodiesterase, periplasmic","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04550","glycerophosphoryl diester phosphodiesterase, periplasmic",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0349","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04570","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0350","dihydrofolate reductase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04580","dihydrofolate reductase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0351","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04590","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0352","probable transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04610","transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0357","formamidopyrimidine-DNA glycosylase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04670","formamidopyrimidine-DNA glycosylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0358","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04680","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0359","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04690","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0360","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04700","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0364","LaoA","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04780","LaoA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0365","LaoB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04790","LaoB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0369","Uncharacterized protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04850","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0372","probable zinc protease","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04890","zinc protease",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0374","cell division protein FtsE","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04910","cell division ATP-binding protein FtsE",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0375","cell division protein FtsX","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04920","cell division protein FtsX",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0377","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04940","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0378","probable transglycosylase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04950","monofunctional biosynthetic peptidoglycan transglycosylase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0380","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_04970","sulfur carrier protein ThiS",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0383","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05010","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0385","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05030","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0388","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05060","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0392","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05130","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0394","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05160","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0396","twitching motility protein PilU","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05190","twitching motility protein PilU",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0397","probable cation efflux system protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05200","cation efflux system protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0399","cystathionine beta-synthase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05220","cystathionine beta-synthase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0400","probable cystathionine gamma-lyase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05230","cystathionine gamma-lyase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0402","aspartate carbamoyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05260","aspartate carbamoyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0403","transcriptional regulator PyrR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05270","bifunctional pyrimidine regulatory protein PyrR/uracil phosphoribosyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0404","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05280","Holliday junction resolvase-like protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0405","AlgH","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05290","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0407","glutathione synthetase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05310","glutathione synthetase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0410","twitching motility protein PilI","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05340","twitching motility protein PilI",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0411","twitching motility protein PilJ","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05360","twitching motility protein PilJ",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0413","component of chemotactic signal transduction system","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05390","ChpA",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0416","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05420","transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0419","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05450","16S ribosomal RNA methyltransferase RsmE",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0422","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05500","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0426","Resistance-Nodulation-Cell Division (RND) multidrug efflux transporter MexB","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05540","RND multidrug efflux transporter MexB",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0427","Major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05550","major intrinsic multiple antibiotic resistance efflux outer membrane protein OprM precursor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0428","probable ATP-dependent RNA helicase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05560","ATP-dependent RNA helicase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0429","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05580","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0433","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05630","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0434","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05640","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0435","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05650","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0441","dihydropyrimidinase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05770","phenylhydantoinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0444","N-carbamoyl-beta-alanine amidohydrolase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05810","allantoate amidohydrolase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0446","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05820","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0447","glutaryl-CoA dehydrogenase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05840","glutaryl-CoA dehydrogenase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0448","transcriptional regulator, GcdR","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05850","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0450","probable phosphate transporter","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05870","phosphate transporter",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0452","probable stomatin-like protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_05890","stomatin-like protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0459","probable ClpA/B protease ATP binding subunit","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06000","ClpA/B protease ATP binding subunit",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0460","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06010","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0461","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06030","acyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0467","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06120","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0468","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06130","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0469","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06150","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0472","FiuI","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06180","RNA polymerase sigma factor",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0473","probable glutathione S-transferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06190","glutathione S-transferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0474","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06200","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0478","probable N-acetyltransferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06250","GNAT family acetyltransferase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0479","probable transcriptional regulator","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06260","LysR family transcriptional regulator",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0481","hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06280","hypothetical protein",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0486","conserved hypothetical protein","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06330","serine/threonine protein kinase",""
"Pseudomonas aeruginosa PAO1 (Stover et al., 2000)","PA0489","probable phosphoribosyl transferase","","Pseudomonas aeruginosa UCBPP-PA14 (Lee et al., 2006)","PA14_06360","phosphoribosyl transferase",""
